,category,image_id,width,height,prompt,bbox_512,num_inference_steps,guidance_scale,seed,orig_nima_mean,orig_nima_std,orig_itm,orig_cos
2870,toaster,135561,1024,768,"toaster, The kitchen is lit with overhead lights, shining on the cupboard and sink","[0, 256, 512, 512]",31,8.832242835730762,1145441010,5.4780917,2.6181486,0.59765625,0.419677734375
2871,toaster,173008,1024,768,"toaster, A man in a tropical print shirt with glasses and long hair is eating a banana.","[0, 256, 512, 512]",25,3.5813548817879983,821827540,5.0693073,2.5198412,0.79443359375,0.39453125
2922,toothbrush,324614,1024,683,"toothbrush, Young lady, wearing a black dress, brushing her teeth.","[85, 164, 512, 512]",31,8.832242835730762,1145441010,4.2501955,2.155949,0.312255859375,0.38671875
2923,toothbrush,544519,1000,667,"toothbrush, An Asian child brushes their teeth with a blue toothbrush.","[185, 155, 512, 512]",25,3.5813548817879983,821827540,4.7819057,2.3172987,0.149169921875,0.344482421875
2924,toothbrush,482319,1024,768,"toothbrush, A man and women who are looking at a small child.","[358, 169, 512, 512]",26,6.428333350464056,847200043,4.2853765,2.2282424,0.49853515625,0.34326171875
2925,toothbrush,175251,612,612,"toothbrush, A little boy that has a toothbrush in his mouth.","[100, 100, 512, 512]",24,7.997806746281609,757855135,4.7843084,2.521935,0.767578125,0.416015625
2926,toothbrush,241319,1024,761,"toothbrush, A bathroom sink with two toothbrushes facing each other.","[512, 86, 512, 512]",35,7.444671666432088,1340589947,4.454673,2.19773,0.410888671875,0.440673828125
2927,toothbrush,445999,657,1024,"toothbrush, A woman standing up brushing her teeth with a toothbrush.","[0, 372, 512, 512]",47,9.238421084414568,1938609420,3.6332552,1.7250888,0.312255859375,0.2802734375
2928,toothbrush,92091,1024,768,"toothbrush, A little girl playing with a teddy bear and chewing on a toothbrush.","[411, 193, 512, 512]",44,8.743542842645962,1786372013,4.4894757,2.2406275,0.334228515625,0.330810546875
2929,toothbrush,521405,681,1024,"toothbrush, A toothbrush is being pushed against the stuffed animal","[0, 209, 512, 512]",48,9.264138661438862,2014448640,5.1324515,2.472519,0.63916015625,0.41357421875
2930,toothbrush,492878,1024,1024,"toothbrush, A close up of a bathroom sink with a cup and toothbrushes.","[110, 115, 512, 512]",19,1.2392896102083748,500051954,5.028726,2.4733176,0.09124755859375,0.28759765625
2931,toothbrush,507473,1024,768,"toothbrush, A girl is taking a selfie while brushing her teeth.","[258, 14, 512, 512]",13,4.935232001165579,168571695,4.045874,2.096003,0.5166015625,0.352294921875
2932,toothbrush,563281,1002,1024,"toothbrush, A child standing on the floor with a toothbrush in hand. ","[252, 144, 512, 512]",17,5.364498942795593,388528798,4.258788,2.185737,0.31103515625,0.304443359375
2933,toothbrush,368212,765,1024,"toothbrush, A toddler with a toothbrush sitting on top of the lid of a toilet.","[143, 186, 512, 512]",42,1.5863877763309675,1701289843,5.1543064,2.588997,0.10791015625,0.2138671875
2934,toothbrush,500565,1024,745,"toothbrush, A woman is holding a baby who is wrapped in a towel and holding a toothbrush","[430, 233, 512, 512]",22,1.0506344561145364,644859804,4.7407823,2.408861,0.343994140625,0.342041015625
2935,toothbrush,560474,1024,768,"toothbrush, a wax head is looking out of a car window","[512, 256, 512, 512]",48,8.475592932741314,2038980991,5.4493513,2.6319997,0.29150390625,0.40087890625
2936,toothbrush,311394,768,1024,"toothbrush, A infant holding a baby toothbrush in his hand looking at it.","[35, 310, 512, 512]",27,9.84972019857558,906032039,4.2848334,2.255063,0.78759765625,0.37109375
2937,toothbrush,578922,957,1024,"toothbrush, A vase of red flowers sits on a bathroom countertop. ","[445, 197, 512, 512]",40,8.061488674054116,1579638338,4.890684,2.3842866,0.4580078125,0.470703125
2938,toothbrush,229358,1024,677,"toothbrush, A man standing in front of a mirror in a room.","[353, 165, 512, 512]",32,3.8404314098044585,1182859276,5.605253,2.6915221,0.233154296875,0.3017578125
2726,teddy bear,199681,1024,768,"teddy bear, A microwave with a stuffed animal inside reads 2:46. ","[92, 0, 512, 512]",31,8.832242835730762,1145441010,5.4831305,2.6942132,0.43994140625,0.42626953125
2727,teddy bear,435205,1024,682,"teddy bear, A pregnant with writing on her stomach while holding a brown teddy bear.","[0, 142, 512, 512]",25,3.5813548817879983,821827540,5.695079,2.6804485,0.439453125,0.428466796875
2728,teddy bear,80413,1024,768,"teddy bear, A small teddy bear is wedged into an opening ina car dashboard.","[237, 44, 512, 512]",26,6.428333350464056,847200043,3.987552,1.6840421,0.35986328125,0.425048828125
2729,teddy bear,276018,666,1024,"teddy bear, A group of kids holding teddy bears and looking happy.","[154, 0, 512, 512]",24,7.997806746281609,757855135,4.8850007,2.4787276,0.20068359375,0.3564453125
2730,teddy bear,20553,800,600,"teddy bear, A teddy bear laying on top of a bed next to a table with beers.

","[108, 0, 512, 512]",35,7.444671666432088,1340589947,4.3177733,2.191488,0.2410888671875,0.390380859375
